['31', '344', '139', '353', '167', '346', '368', '213', '136', '375', '315', '44', '387', '393', '260', '63', '143', '279', '308', '326', '343', '172', '171', '253', '254', '363', '87', '25', '24', '394', '105', '113', '108', '148', '38', '150', '43', '28', '51', '52']
['32', '137', '268', '156', '140', '269', '169', '228', '236', '183', '239', '257', '71', '135', '42', '39', '4', '123', '130', '29', '35', '256', '255', '124', '244', '54', '238', '264', '296', '299', '229', '11', '17', '275', '22', '391', '120', '232', '339', '191']
['396', '233', '349', '146', '145', '2', '294', '7', '131', '271', '355', '84', '190', '341', '187', '186', '86', '369', '94', '177', '64', '222', '68', '209', '158', '221', '206', '77', '336', '359', '220', '373', '338', '356', '361', '322', '324', '360', '321', '304']
['335', '122', '261', '295', '297', '246', '34', '109', '95', '78', '14', '241', '115', '26', '121', '147', '125', '351', '110', '170', '365', '215', '235', '291', '325', '283', '258', '216', '348', '149', '70', '12', '132', '20', '309', '100', '337', '333', '208', '62']
['134', '106', '259', '166', '290', '281', '306', '91', '398', '127', '354', '119', '117', '36', '37', '252', '392', '282', '302', '397', '262', '329', '163', '298', '357', '367', '55', '47', '40', '30', '377', '383', '231', '141', '19', '129', '227', '195', '352', '88']
['188', '72', '114', '342', '345', '372', '332', '370', '310', '385', '388', '389', '314', '334', '358', '390', '379', '323', '165', '102', '104', '107', '116', '138', '142', '151', '96', '162', '288', '175', '178', '179', '180', '161', '185', '93', '85', '1', '5', '8']
['313', '0', '13', '16', '23', '33', '92', '45', '57', '58', '69', '73', '75', '76', '49', '197', '199', '201', '245', '267', '243', '242', '237', '272', '273', '230', '226', '225', '248', '224', '274', '266', '207', '276', '218', '277', '280', '284', '286', '210']
['203', '48', '380', '53', '90', '184', '98', '61', '327', '211', '217', '112', '154', '80', '240', '81', '67', '153', '155', '247', '300', '66', '181', '174', '60', '15', '362', '126', '319', '9', '312', '159', '176', '97', '101', '111', '164', '168', '200', '399']
['18', '331', '65', '219', '205', '301', '378', '303', '59', '41', '382', '384', '10', '386', '311', '46', '89', '265', '189', '202', '204', '212', '173', '214', '330', '160', '328', '376', '223', '128', '234', '99', '364', '366', '318', '198', '83', '79', '133', '287']
['381', '250', '144', '374', '103', '347', '50', '316', '292', '263', '285', '270', '278', '196', '194', '249', '320', '82', '74', '27', '21', '395', '6', '118', '251', '317', '56', '152', '293', '3', '289', '305', '307', '340', '193', '192', '350', '371', '157', '182']
