['410', '309', '480', '396', '271', '338', '421', '164', '329', '498', '288', '56', '40', '275', '31', '29', '122', '205', '412', '12', '237', '114', '149', '452', '376', '467', '223', '475', '443', '374', '394', '266', '224', '455', '220', '472', '481', '406', '477', '180', '38', '103', '490', '491', '280', '175', '264', '241', '134', '454']
['253', '496', '380', '9', '387', '243', '351', '444', '362', '202', '258', '2', '330', '100', '92', '125', '80', '357', '242', '429', '370', '71', '33', '190', '36', '148', '418', '383', '239', '492', '395', '313', '487', '45', '225', '187', '150', '269', '178', '384', '66', '488', '300', '276', '161', '73', '226', '54', '183', '382']
['189', '219', '260', '209', '324', '489', '365', '98', '456', '208', '381', '116', '123', '320', '372', '252', '222', '228', '19', '497', '69', '215', '78', '484', '16', '302', '182', '50', '201', '135', '84', '63', '82', '363', '259', '426', '478', '460', '37', '333', '11', '213', '290', '402', '179', '6', '450', '485', '22', '424']
['304', '474', '465', '350', '422', '132', '70', '55', '158', '420', '486', '251', '411', '247', '129', '448', '79', '294', '352', '305', '401', '143', '462', '95', '74', '5', '340', '121', '407', '291', '361', '93', '163', '425', '142', '8', '436', '344', '212', '171', '427', '367', '408', '234', '203', '146', '297', '415', '416', '28']
['204', '159', '167', '199', '334', '312', '43', '200', '152', '124', '479', '3', '254', '211', '321', '176', '400', '24', '404', '409', '459', '473', '449', '154', '423', '256', '138', '162', '58', '113', '140', '184', '457', '52', '466', '120', '316', '419', '261', '295', '255', '250', '315', '319', '177', '193', '18', '389', '173', '110']
['414', '437', '447', '14', '157', '133', '105', '263', '34', '483', '303', '308', '360', '216', '277', '461', '49', '413', '60', '186', '386', '1', '373', '61', '369', '318', '453', '445', '434', '432', '431', '359', '499', '107', '139', '117', '279', '348', '349', '471', '77', '227', '13', '106', '391', '21', '62', '323', '191', '194']
['230', '130', '128', '337', '27', '25', '26', '17', '68', '435', '292', '155', '311', '355', '463', '41', '153', '99', '347', '81', '289', '249', '470', '430', '375', '102', '111', '118', '214', '244', '301', '221', '378', '397', '144', '112', '229', '284', '232', '192', '440', '137', '371', '4', '265', '364', '174', '388', '442', '172']
['96', '196', '85', '30', '156', '267', '356', '339', '358', '332', '160', '268', '15', '67', '438', '245', '306', '281', '217', '101', '83', '72', '166', '286', '368', '46', '469', '115', '272', '331', '233', '403', '168', '307', '322', '170', '458', '197', '119', '126', '206', '136', '405', '147', '91', '293', '165', '20', '335', '346']
['433', '109', '87', '127', '48', '23', '274', '248', '390', '278', '94', '39', '476', '195', '343', '495', '287', '285', '417', '169', '47', '451', '89', '464', '494', '385', '353', '342', '336', '246', '10', '65', '257', '198', '42', '44', '145', '299', '493', '398', '151', '88', '86', '236', '314', '218', '354', '366', '377', '399']
['240', '188', '97', '270', '379', '345', '53', '131', '283', '441', '185', '76', '468', '273', '181', '104', '341', '210', '298', '310', '393', '392', '238', '59', '57', '482', '282', '35', '231', '64', '262', '32', '0', '207', '296', '326', '328', '51', '108', '439', '325', '317', '75', '446', '7', '235', '141', '90', '428', '327']
